"file","source","bytes","canvas_w","canvas_h","frame_count","frame","x_signed","y_signed","x_raw","y_raw","w","h","format","extra_9_11","rgb_12_15","unk_16_19","data_offset"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","21","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","90768"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","22","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","94136"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","23","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","97568"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","24","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","100976"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","25","107","99","0x006B","0x0063","127","67","3","000000","0x00000000","0x00000000","104448"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","26","98","99","0x0062","0x0063","127","63","3","000000","0x00000000","0x00000000","106920"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","27","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","109176"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","28","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","112544"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","29","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","115912"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","30","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","119280"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","31","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","122648"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","32","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","126168"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","33","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","129688"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","34","102","119","0x0066","0x0077","127","63","3","000000","0x00000000","0x00000000","133208"
"bridgb.lun","nested:lunar.mix","137928","253","242","36","35","93","119","0x005D","0x0077","127","67","3","000000","0x00000000","0x00000000","135456"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","0","59","34","0x003B","0x0022","148","89","3","000000","0x00060000","0x00000000","872"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","1","59","34","0x003B","0x0022","148","89","3","000000","0x00070000","0x00000000","5368"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","2","59","34","0x003B","0x0022","148","89","3","000000","0x00080000","0x00000000","9872"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","3","59","34","0x003B","0x0022","148","89","3","000000","0x00060000","0x00000000","14392"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","4","59","34","0x003B","0x0022","148","89","3","000000","0x00050000","0x00000000","18904"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","5","59","34","0x003B","0x0022","148","89","3","000000","0x00040000","0x00000000","23400"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","6","59","34","0x003B","0x0022","148","89","3","000000","0x00030000","0x00000000","27896"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","7","56","31","0x0038","0x001F","151","92","3","000000","0x00040000","0x00000000","32392"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","8","52","34","0x0034","0x0022","140","92","3","000000","0x00050000","0x00000000","35952"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","9","46","49","0x002E","0x0031","148","88","3","000000","0x00080000","0x00000000","40584"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","10","46","49","0x002E","0x0031","148","88","3","000000","0x00060000","0x00000000","45056"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","11","47","49","0x002F","0x0031","147","88","3","000000","0x00070000","0x00000000","49528"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","12","46","48","0x002E","0x0030","148","89","3","000000","0x00060000","0x00000000","54040"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","13","46","49","0x002E","0x0031","148","88","3","000000","0x00040000","0x00000000","58592"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","14","46","48","0x002E","0x0030","148","89","3","000000","0x00040000","0x00000000","63072"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","15","46","48","0x002E","0x0030","148","89","3","000000","0x00030000","0x00000000","67552"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","16","58","48","0x003A","0x0030","136","91","3","000000","0x00040000","0x00000000","72048"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","17","46","39","0x002E","0x0027","149","98","3","000000","0x00040000","0x00000000","76696"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","18","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","80664"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","19","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","84032"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","20","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","87400"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","21","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","90768"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","22","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","94136"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","23","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","97568"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","24","98","99","0x0062","0x0063","136","67","3","000000","0x00000000","0x00000000","100976"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","25","107","99","0x006B","0x0063","127","67","3","000000","0x00000000","0x00000000","104448"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","26","98","99","0x0062","0x0063","127","63","3","000000","0x00000000","0x00000000","106920"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","27","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","109176"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","28","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","112544"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","29","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","115912"
"bridgb.ubn","ra2md.mix -> #0xA01A9A03","137928","253","242","36","30","93","119","0x005D","0x0077","136","67","3","000000","0x00000000","0x00000000","119280"
